Time,Channel A
(s),(V)

0.00000000,-0.03070162
0.06666670,-0.02752770
0.13333340,-0.02728355
0.20000010,-0.02819910
0.26666680,-0.02673421
0.33333350,-0.02697836
0.40000020,-0.02832118
0.46666690,-0.02911466
0.53333360,-0.02783288
0.60000030,-0.02978607
0.66666700,-0.02520829
0.73333370,-0.02716147
0.80000040,-0.02758873
0.86666710,-0.02728355
0.93333380,-0.02728355
1.00000050,-0.03180028
1.06666720,-0.02935881
1.13333390,-0.02752770
1.20000060,-0.02679525
1.26666730,-0.02697836
1.33333400,-0.02838221
1.40000070,-0.02856532
1.46666740,-0.02685629
1.53333410,-0.02710044
1.60000080,-0.02948088
1.66666750,-0.02539140
1.73333420,-0.02471999
1.80000090,-0.02893155
1.86666760,-0.02679525
1.93333430,-0.02667318
2.00000100,-0.02813807
2.06666770,-0.02679525
2.13333440,-0.02679525
2.20000110,-0.02563555
2.26666780,-0.02783288
2.33333450,-0.02459792
2.40000120,-0.03247169
2.46666790,-0.02679525
2.53333460,-0.02514725
2.60000130,-0.02819910
2.66666800,-0.02642903
2.73333470,-0.02624592
2.80000140,-0.02801599
2.86666810,-0.02764977
2.93333480,-0.02514725
3.00000150,-0.02819910
3.06666820,-0.02752770
3.13333490,-0.02453688
3.20000160,-0.02710044
3.26666830,-0.02764977
3.33333500,-0.02569658
3.40000170,-0.02746666
3.46666840,-0.02697836
3.53333510,-0.02520829
3.60000180,-0.02783288
3.66666850,-0.02685629
3.73333520,-0.02435377
3.80000190,-0.02862636
3.86666860,-0.02911466
3.93333530,-0.02667318
4.00000200,-0.02740562
4.06666870,-0.02710044
4.13333540,-0.02587970
4.20000210,-0.02764977
4.26666880,-0.02600177
4.33333550,-0.02826014
4.40000220,-0.02514725
4.46666890,-0.02856532
4.53333560,-0.02368236
4.60000230,-0.02874844
4.66666900,-0.02856532
4.73333570,-0.02594073
4.80000240,-0.02746666
4.86666910,-0.02710044
4.93333580,-0.02697836
5.00000250,-0.02758873
5.06666920,-0.03045747
5.13333590,-0.02624592
5.20000260,-0.02716147
5.26666930,-0.02795495
5.33333600,-0.02636799
5.40000270,-0.02649007
5.46666940,-0.02832118
5.53333610,-0.02673421
5.60000280,-0.02587970
5.66666950,-0.02850429
5.73333620,-0.02710044
5.80000290,-0.02636799
5.86666960,-0.02826014
5.93333630,-0.02557451
6.00000300,-0.02606281
6.06666970,-0.02710044
6.13333640,-0.02783288
6.20000309,-0.02557451
6.26666979,-0.02667318
6.33333649,-0.02710044
6.40000319,-0.02484207
6.46666989,-0.02874844
6.53333659,-0.02661214
6.60000329,-0.02130192
6.66666999,-0.02850429
6.73333669,-0.02612384
6.80000339,-0.02728355
6.86667009,-0.02789392
6.93333679,-0.02740562
7.00000349,-0.02551347
7.06667019,-0.02783288
7.13333689,-0.02673421
7.20000359,-0.02539140
7.26667029,-0.02551347
7.33333699,-0.02636799
7.40000369,-0.02386547
7.46667039,-0.02728355
7.53333709,-0.02606281
7.60000379,-0.02575762
7.66667049,-0.02624592
7.73333719,-0.02673421
7.80000389,-0.02478103
7.86667059,-0.02740562
7.93333729,-0.02722251
8.00000399,-0.02557451
8.06667069,-0.02752770
8.13333739,-0.02752770
8.20000409,-0.02661214
8.26667079,-0.02661214
8.33333749,-0.02862636
8.40000419,-0.02636799
8.46667089,-0.02587970
8.53333759,-0.02966399
8.60000429,-0.02337718
8.66667099,-0.02539140
8.73333769,-0.03198340
8.80000439,-0.02136296
8.86667109,-0.02642903
8.93333779,-0.02673421
9.00000449,-0.02435377
9.06667119,-0.02575762
9.13333789,-0.02624592
9.20000459,-0.02441481
9.26667129,-0.02551347
9.33333799,-0.02587970
9.40000469,-0.02288888
9.46667139,-0.02514725
9.53333809,-0.02563555
9.60000479,-0.02423170
9.66667149,-0.02331614
9.73333819,-0.02728355
9.80000489,-0.02557451
9.86667159,-0.02526933
9.93333829,-0.02606281
10.00000499,-0.02246162
10.06667169,-0.02179022
10.13333839,-0.02508621
10.20000509,-0.02331614
10.26667179,-0.02453688
10.33333849,-0.02520829
10.40000519,-0.02343822
10.46667189,-0.02661214
10.53333859,-0.02142399
10.60000529,-0.02404859
10.66667199,-0.02081362
10.73333869,-0.02990814
10.80000539,-0.02221747
